"Дата","Время","Площадка","Категория","Id товара"
"datetime","parsing_time","platform","category","inner_product_id"
"2021-02-27","00:00:00",1,"",232793128
"2020-10-29","00:00:00",1,"",146867771
"2020-10-24","00:00:00",1,"",174441686
"2020-12-29","00:00:00",1,"",219231037
"2021-02-12","00:00:00",1,"",228959885
"2020-10-30","00:00:00",1,"",185159279
"2020-11-03","00:00:00",1,"",203944796
"2020-10-24","00:00:00",1,"",199725319
"2020-10-30","00:00:00",1,"",182184269
"2020-10-31","00:00:00",1,"",179078905
"2021-01-14","00:00:00",1,"",221687418
"2020-10-24","00:00:00",1,"",172120465
"2021-01-27","00:00:00",1,"",225240226
"2020-10-25","00:00:00",1,"",149330812
"2020-10-24","00:00:00",1,"",155092085
"2021-01-20","00:00:00",1,"",197135424
"2020-10-31","00:00:00",1,"",194659992
"2020-10-29","00:00:00",1,"",201354779
"2020-11-26","00:00:00",1,"",207234243
"2021-01-26","00:00:00",1,"",223794561
"2021-01-29","00:00:00",1,"",150048563
"2020-12-26","00:00:00",1,"",218931033
"2021-02-25","00:00:00",1,"",231695709
"2021-02-25","00:00:00",1,"",232931377
"2020-10-25","00:00:00",1,"",137524535
"2020-11-22","00:00:00",1,"",207623648
"2020-11-13","00:00:00",1,"",206385292
"2020-12-16","00:00:00",1,"",215253072
"2020-10-25","00:00:00",1,"",198645775
"2020-12-03","00:00:00",1,"",212070372
"2020-10-24","00:00:00",1,"",177999857
"2020-10-30","00:00:00",1,"",175296665
"2020-12-13","00:00:00",1,"",215890043
"2020-10-24","00:00:00",1,"",193456892
"2020-11-06","00:00:00",1,"",204531475
"2020-11-18","00:00:00",1,"",203276927
"2020-10-24","00:00:00",1,"",186538528
"2020-11-17","00:00:00",1,"",206014631
"2021-01-07","00:00:00",1,"",217259287
"2020-12-03","00:00:00",1,"",211532510
"2020-11-17","00:00:00",1,"",207110362
"2020-12-01","00:00:00",1,"",176408460
"2020-12-12","00:00:00",1,"",183806008
"2020-12-13","00:00:00",1,"",169506640
"2020-10-29","00:00:00",1,"",174921956
"2020-10-30","00:00:00",1,"",189882542
"2020-10-29","00:00:00",1,"",162523291
"2020-10-31","00:00:00",1,"",201896489
"2020-11-27","00:00:00",1,"",210830069
"2020-10-24","00:00:00",1,"",197709938
"2021-01-13","00:00:00",1,"",158077599
"2020-10-24","00:00:00",1,"",174563535
